tick,role,input,action,x,y,grounded,crouching,facing,aimX,aimY,phase,shotSequence,hp,muzzleX,muzzleY
48,ENGINEER,RUN_LEFT,RUN,748.800,270.000,true,false,-1,-1.00000,0.00000,5.52920,3,100,745.800,270.000
49,REPAIR,RUN_LEFT,RUN,750.000,270.000,true,false,-1,-1.00000,0.00000,1.57080,3,100,747.000,270.000
49,SCOUT,RUN_LEFT,RUN,769.500,270.000,true,false,-1,-1.00000,0.00000,0.39270,3,100,766.500,270.000
49,WARDEN,RUN_LEFT,RUN,730.500,270.000,true,false,-1,-1.00000,0.00000,2.74889,3,100,727.500,270.000
49,ENGINEER,RUN_LEFT,RUN,744.000,270.000,true,false,-1,-1.00000,0.00000,6.28319,3,100,741.000,270.000
50,REPAIR,RUN_LEFT,RUN,745.000,270.000,true,false,-1,-1.00000,0.00000,2.35619,3,100,742.000,270.000
50,SCOUT,RUN_LEFT,RUN,763.850,270.000,true,false,-1,-1.00000,0.00000,1.28020,3,100,760.850,270.000
50,WARDEN,RUN_LEFT,RUN,726.150,270.000,true,false,-1,-1.00000,0.00000,3.43219,3,100,723.150,270.000
50,ENGINEER,RUN_LEFT,RUN,739.200,270.000,true,false,-1,-1.00000,0.00000,0.75398,3,100,736.200,270.000
51,REPAIR,RUN_LEFT,RUN,740.000,270.000,true,false,-1,-1.00000,0.00000,3.14159,3,100,737.000,270.000
51,SCOUT,RUN_LEFT,RUN,758.200,270.000,true,false,-1,-1.00000,0.00000,2.16770,3,100,755.200,270.000
51,WARDEN,RUN_LEFT,RUN,721.800,270.000,true,false,-1,-1.00000,0.00000,4.11549,3,100,718.800,270.000
51,ENGINEER,RUN_LEFT,RUN,734.400,270.000,true,false,-1,-1.00000,0.00000,1.50796,3,100,731.400,270.000
52,REPAIR,RUN_LEFT,RUN,735.000,270.000,true,false,-1,-1.00000,0.00000,3.92699,3,100,732.000,270.000
52,SCOUT,RUN_LEFT,RUN,752.550,270.000,true,false,-1,-1.00000,0.00000,3.05520,3,100,749.550,270.000
52,WARDEN,RUN_LEFT,RUN,717.450,270.000,true,false,-1,-1.00000,0.00000,4.79878,3,100,714.450,270.000
52,ENGINEER,RUN_LEFT,RUN,729.600,270.000,true,false,-1,-1.00000,0.00000,2.26195,3,100,726.600,270.000
53,REPAIR,RUN_LEFT,RUN,730.000,270.000,true,false,-1,-1.00000,0.00000,4.71239,3,100,727.000,270.000
53,SCOUT,RUN_LEFT,RUN,746.900,270.000,true,false,-1,-1.00000,0.00000,3.94270,3,100,743.900,270.000
53,WARDEN,RUN_LEFT,RUN,713.100,270.000,true,false,-1,-1.00000,0.00000,5.48208,3,100,710.100,270.000
53,ENGINEER,RUN_LEFT,RUN,724.800,270.000,true,false,-1,-1.00000,0.00000,3.01593,3,100,721.800,270.000
